ID,GDP96,GDPGrow,popDens96,area96,unemp99,pctCollege,CO2_2005
US19,32613.41,0.246379073,0.00333534,0.055566549,0.0261,0.205728363,0.216199344
AT21,24045.81,0.243860754,0.010123935,0.003690984,0.0348,0.12714914,0.080247425
ES52,20456.57,0.243367193,0.028455369,0.00906055,0.1378,0.220481791,0.049604607
US02,51856.67,0.242483798,6.78334E-05,0.460554489,0.0616,0.233694755,0.201076766
US09,46657.11,0.241798306,0.043213732,0.004942705,0.0265,0.314655204,0.11023455
BE2,26491.9,0.241074749,0.072076897,0.005263286,0.0537,0.300439518,0.109723607
DE4,19051.74,0.239363191,0.01464648,0.011572115,0.1578,0.287396071,0.216122766
FR10,38956.04,0.239293354,0.143002477,0.004732189,0.1049,0.330756315,0.065666686
US44,32463.15,0.239122636,0.06005983,0.001068129,0.0417,0.236683926,0.111850815
AT32,32634.54,0.238744561,0.012169988,0.002781091,0.0272,0.162652981,0.086456724
US15,37527.78,0.237312131,0.012002437,0.006547133,0.05,0.254116145,0.123344223
DE8,19051.96,0.237036961,0.013174711,0.00910782,0.1817,0.25216263,0.071081943
CL05,8153.01,0.233571257,0.015147725,0.006453604,0.1344,0.244,0.055826729
US27,36657.5,0.232955071,0.003808496,0.078274731,0.0278,0.257689433,0.174368597
DE5,36637.17,0.231556044,0.249632196,0.000159597,0.115,0.189599483,0.103314698
US23,27741.6,0.230111748,0.002625184,0.031075188,0.0394,0.215083074,0.143474665
US36,41759.74,0.228560401,0.02485557,0.047157415,0.0522,0.263042467,0.133044106
CA13,21882.81,0.228254399,0.001779103,0.027787193,0.1015,0.367803838,0.187378457
ME01,10076.68,0.226629096,0.026211144,0.002218731,0.0226,0.201510495,0.016872072
NO06,34771.37446,0.225697519,0.001694457,0.01513355,0.0377,0.268844221,0.077524183
UKG,22140.95,0.224029571,0.066364178,0.005121826,0.0686,0.21024563,0.080510571
US31,35267.67,0.223355678,0.001406601,0.075682288,0.0275,0.227970321,0.210824638
US25,41164.15,0.223271082,0.049576426,0.007986277,0.0327,0.332160307,0.13429156
NO02,30164.98976,0.221008466,0.001254173,0.019531036,0.0318,0.258223684,0.123176155
PT15,19399.16,0.220490436,0.012371013,0.001937726,0.0482,0.072616408,0.034750368
ES51,26442.43,0.220095696,0.031960132,0.012552119,0.1077,0.254802145,0.055197261
BE3,19823.89,0.217272708,0.032928767,0.006613234,0.1256,0.293245228,0.104000275
ES64,18542.21,0.21690904,0.579158915,5.29137E-06,0.2101,0.280155642,0.001899336
US49,30593.27,0.216310987,0.001609802,0.08066797,0.0358,0.223570386,0.223371662
DE2,31539,0.216102237,0.028570745,0.027478055,0.0505,0.211948674,0.061563568
US41,34315.77,0.213972705,0.002185311,0.093653289,0.0548,0.23081022,0.126783391
ITF2,18124.64,0.213831622,0.012622238,0.001725316,0.162,0.105098039,0.065310561
UKL,19717.94,0.213401732,0.023332492,0.0081674,0.0709,0.237074303,0.101942132
US12,30256.38,0.212279626,0.017366889,0.05368545,0.0401,0.215423008,0.147583809
ITC3,24655.32,0.212022913,0.050383034,0.002102492,0.0986,0.136301056,0.08340062
PT17,25011.26,0.209430328,0.144779498,0.001123076,0.0607,0.154728868,0.049785504
TR62,7922.41,0.207661059,0.018283151,0.011542371,0.136752137,0.075,0.046524336
CZ04,15449.75,0.207290795,0.022354514,0.003342585,0.1347,0.077596777,0.345529413
US42,32520.7,0.206351433,0.017433555,0.04481596,0.0441,0.215377661,0.195072615
CA59,27821.54,0.200094586,0.000712021,0.311778633,0.0825,0.374795219,0.108445107
HU33,9854.71,0.199071566,0.012823173,0.007205788,0.0577,0.114318268,0.036676531
US28,24851.41,0.198482695,0.003774707,0.046858052,0.0526,0.168627225,0.169084779
CA11,20592.1,0.198239981,0.004044991,0.002242134,0.1435,0.327239488,0.133044106
US01,27454.28,0.197281549,0.005513383,0.050595683,0.0427,0.186064144,0.245329082
US50,30011.58,0.196901143,0.004146329,0.009415373,0.0293,0.266360781,0.092194373
US37,33133.83,0.196009287,0.009771323,0.048616963,0.0327,0.203728296,0.153389935
ME15,6855.68,0.195677509,0.086194188,0.008780171,0.0303,0.162032817,0.027193424
US34,42313.76,0.195456345,0.068314284,0.00755731,0.0448,0.292646882,0.148895178
FR30,20409.67,0.194671525,0.053120644,0.00489009,0.1811,0.176546949,0.072409083
US54,24692.16,0.192680536,0.004939785,0.024326732,0.0627,0.132181718,0.452987041
NO01,56632.69775,0.191417002,0.031122082,0.001977966,0.0226,0.414561108,0.084624183
ITF6,15078.08,0.190009204,0.023398761,0.005808352,0.2801,0.120825017,0.059236945
PT18,16807.91,0.186438015,0.00412944,0.012285589,0.0651,0.07098856,0.13445777
US17,37959.45,0.185822453,0.013977762,0.05529002,0.0445,0.248830465,0.184141826
NO03,32881.83557,0.184958821,0.004163218,0.013364218,0.0359,0.237180935,0.10314323
DE7,33782.27,0.184945623,0.047298281,0.008303104,0.0733,0.237717087,0.102113806
DE1,31330.39,0.184654478,0.048090566,0.014018904,0.0542,0.238789524,0.084274746
US04,30698.85,0.184319092,0.002557525,0.109945887,0.045,0.202452849,0.169566282
AU6,23323.92,0.183665696,0.001186421,0.026464624,0.0929,0.213087248,0.072497496
FR51,22850.91,0.181799486,0.016633274,0.012588852,0.1225,0.186223795,0.057712759
FR52,21466.26,0.181498143,0.017683511,0.01068652,0.0954,0.216003092,0.049152221
FR81,19968.52,0.181391996,0.01377706,0.010752113,0.1735,0.213917834,0.051773217
DEA,28549.77,0.179010626,0.085618362,0.013366828,0.0745,0.203083027,0.132378161
FR62,22535.66,0.175158311,0.009351384,0.017748487,0.1112,0.253483992,0.058788896
FR82,23560.31,0.174678203,0.023696918,0.012322799,0.1689,0.223903593,0.063973961
FR71,25981.32,0.174068419,0.021375577,0.017108311,0.0991,0.25101494,0.060490414
CA24,24664.69,0.173401858,0.000898419,0.429275414,0.0935,0.39600688,0.120230398
ME23,13069.21,0.172830024,0.002912689,0.016656676,0.0133,0.170059387,0.01911276
US55,32951.1,0.172242436,0.006221491,0.054056888,0.0306,0.209438572,0.177716547
ME17,7152.32,0.170844262,0.049043708,0.001929884,0.0155,0.160173231,0.025434246
US18,32053.35,0.170687752,0.010593891,0.036025415,0.0286,0.181143165,0.249929862
ES70,20649.7,0.170410944,0.035288959,0.002936348,0.1429,0.207436666,0.03318837
ITG2,18329.64,0.169470489,0.011633724,0.00939022,0.2099,0.101212121,0.085235403
ITF5,17092.58,0.167438568,0.01056033,0.003829302,0.1712,0.082796688,0.054657401
DE9,25418.76,0.166809626,0.027515388,0.018626496,0.0736,0.197454505,0.078315566
AU4,25456.22,0.166116501,0.000254352,0.328644293,0.0824,0.229806452,0.137693347
US05,27105.84,0.164875771,0.003149395,0.051882279,0.0444,0.151911952,0.204801454
NO07,35089.85997,0.164570554,0.000745915,0.041508056,0.0449,0.269970098,0.06459793
ES53,26132.87,0.164267208,0.02546746,0.001969177,0.0815,0.180068547,0.039056178
PT16,15360.24,0.163615088,0.01371015,0.011057403,0.025,0.073268598,0.073292865
ITD4,27610.6,0.16172593,0.026161583,0.00297375,0.0558,0.109235545,0.068156019
ITF3,15351.56,0.16030622,0.069786234,0.005276248,0.2374,0.114490074,0.055826729
GR2,20159.33,0.160305024,0.007636204,0.020837122,0.1151,0.119981941,0.061027136
US16,28506.5,0.156003177,0.000932306,0.081237243,0.0489,0.183329758,0.093926575
ITE3,32472.51,0.154755888,0.019348291,0.003765574,0.0613,0.119613435,0.048971209
US35,30774.42,0.151894037,0.000915363,0.116995293,0.0559,0.216184798,0.232980936
FR72,21161.5,0.150286489,0.008510977,0.010219546,0.106,0.212184475,0.165546661
ITG1,16021.87,0.148524964,0.032895947,0.009981521,0.2446,0.118905529,0.061652946
FR61,23037.38,0.145728821,0.011717534,0.016180206,0.1186,0.225506757,0.054837387
PT11,15232.25,0.145648674,0.028125652,0.008367248,0.0457,0.071217914,0.047159285
FR26,22641.41,0.144015886,0.008628677,0.012393941,0.1035,0.182196698,0.067089921
DEB,25430.58,0.144014549,0.033683323,0.007806414,0.0607,0.208137548,0.067978415
DE6,47309.84,0.142177198,0.3243902,0.000298169,0.0859,0.218833353,0.064865226
GR1,19310.13,0.140069483,0.010375725,0.021927123,0.1254,0.169922956,0.124687745
US29,32496.75,0.139180512,0.005091653,0.068080801,0.0314,0.21207775,0.211286461
FR53,21215.89,0.137720227,0.010627451,0.010140042,0.1089,0.18397711,0.053937135
US32,40743.47,0.136827955,0.000949249,0.106450174,0.0427,0.164201338,0.156889999
BE1,55518.04,0.136097263,0.693147181,6.35735E-05,0.1578,0.38781575,0.063884791
US39,32833.43,0.135779162,0.017733494,0.041026,0.0426,0.191555923,0.179465772
ITD1,34581.5,0.134825683,0.010291802,0.00290603,0.0248,0.079464286,0.046615068
US47,31989.42,0.134092046,0.008410081,0.041289791,0.0411,0.191971531,0.172690408
FR21,23730.67,0.132970199,0.008897652,0.010060413,0.1317,0.163796262,0.066556446
US45,28710.98,0.128986272,0.008090508,0.030329299,0.0408,0.212594459,0.179306878
AU2,29126.05,0.128726565,0.003386046,0.086058864,0.0705,0.296041511,0.17954521
US33,36079.82,0.127491471,0.008443714,0.009130163,0.0275,0.283511207,0.134956233
US21,29434.62,0.127216356,0.006373163,0.039827508,0.0463,0.157285147,0.304811144
ITE1,26973.52,0.125976377,0.025831108,0.008908551,0.0723,0.113884352,0.06771195
AT13,41444.53,0.123978563,0.505881768,0.000156676,0.0573,0.199673899,0.083138233
FR23,23566.56,0.122640266,0.024143986,0.004852091,0.1407,0.170625303,0.114312721
ITF4,16360.33,0.12207845,0.035207102,0.00755151,0.1897,0.113204942,0.064419693
FR63,20841.67,0.120903152,0.00713118,0.006667876,0.0951,0.172050817,0.062724852
ITE4,29257.72,0.120164374,0.05043141,0.006639124,0.1169,0.15583761,0.0777001
JPJ,23069.37,0.119801522,0.055562059,0.017113667,0.0492,0.306,0.069309678
ITC2,32319.96,0.118469132,0.006120363,0.001278196,0.0531,0.094570928,0.049152221
CA35,30211.58,0.11516907,0.002066852,0.306317852,0.0635,0.437820622,0.137941804
ITE2,16916.65,0.111504642,0.023465026,0.003253242,0.0763,0.118678161,0.06192103
FR25,21539.08,0.106885276,0.013542856,0.006921633,0.0996,0.179422383,0.064063123
ME08,11659.87,0.10136881,0.001965303,0.093242029,0.0121,0.165874039,0.037683996
FR41,21717.71,0.1011288,0.016549875,0.009255407,0.1114,0.200658233,0.097985478
ITF1,21613.04,0.099342361,0.019764053,0.004204899,0.1008,0.113074915,0.063706426
ITC1,28263.22,0.098322665,0.028570745,0.009767254,0.0725,0.109802877,0.077084256
JPH,27275.65,0.097442509,0.041051253,0.012342458,0.0364,0.306,0.094186147
ITD5,32326.48,0.096992214,0.030266875,0.008465806,0.0456,0.122479622,0.066645378
FR43,22280.39,0.096441028,0.011600198,0.006377566,0.0974,0.198701035,0.05735379
ITD3,30212.47,0.091531065,0.041799707,0.006906613,0.0454,0.103013967,0.08444948
ITD2,30846.13,0.090947309,0.012605492,0.002421622,0.0435,0.114573346,0.061027136
FR24,23491.71,0.088968308,0.010459641,0.015341577,0.1079,0.190545244,0.065399604
US13,35286.19,0.087734722,0.008258718,0.057535083,0.0377,0.209808511,0.159243609
DEF,26817.79,0.085957323,0.029130951,0.006208127,0.0767,0.210148758,0.059684793
JPB,24922.55,0.085580825,0.024789398,0.025922124,0.0421,0.306,0.100137775
ITC4,34135.01,0.084365896,0.06404447,0.008962168,0.0482,0.122102498,0.076291898
JPD,27601.31,0.0813602,0.04716887,0.013864386,0.0364,0.306,0.089677339
FR22,21766.71,0.079618434,0.01608271,0.007631261,0.1342,0.167297403,0.064508815
FR42,26600.4,0.071538062,0.03432261,0.003264342,0.0754,0.202690918,0.061116561
JPF,31640.71,0.067286123,0.105134937,0.008782128,0.0387,0.306,0.087763629
JPC,34197.91,0.065030462,0.352581171,0.005164294,0.0519,0.306,0.069753039
JPI,24405.61,0.062926143,0.037316893,0.007336721,0.0393,0.306,0.110149411
US26,32584.62,0.059515183,0.011164256,0.056470171,0.0378,0.211885092,0.164095632
DE3,27770.85,0.056214253,0.50395747,0.000351736,0.1526,0.321984662,0.08147485
JPE,28760.5,0.055147872,0.028768501,0.012838849,0.0353,0.306,0.101512818
JPG,29711.62,0.020170726,0.125385579,0.010305181,0.0559,0.306,0.077084256
JPA,25839.45,0.017396166,0.011516377,0.032423636,0.0502,0.306,0.090024893
